ID,Name,Department,Email,Gender,Mobile No.,Supervisor Rating,Supervisor ID,No.of projects,easy,Medium,Hard,Date Alotted,Hours Alotted,Delay(hours),Early(hours),Overtime(hours),Cummulative Score
1,Prince Kumar,Training,prince.kumar861@gmail.com,Male,7769986774,2,89,10,1,4,5,05/02/2017,90,2,43,43,100
2,Diwakar Shukla,Legal,csediwakar@gmail.com,Male,9403304730,4,1,15,9,4,2,01/02/2017,37,14,41,100,29
3,Mukul Tyagi,Support,cool.tyagi4@gmail.com,Male,8698906099,3,1,22,8,6,8,15/02/2017,72,16,5,22,21
4,Param Satyam ,Business Development,thestarpsp004@gmail.com,Male,8698609549,1,1,17,9,8,0,15/04/2017,46,9,44,8,17
5,Arnuad,Accounting,acrimmins4@mozilla.com,Male,4056444358,2,32,21,5,9,7,04/08/2016,100,10,30,54,70
6,Sybille,Product Management,skesper5@cam.ac.uk,Female,3974184740,6,609,18,6,9,3,19/06/2017,14,10,44,45,18
7,Shaylah,Accounting,sconnow6@reverbnation.com,Female,7480739974,9,45,21,4,8,9,31/10/2016,34,22,16,61,83
8,Nicholle,Marketing,ncorrison7@oracle.com,Female,7904218089,8,62,1,0,1,0,09/08/2016,4,2,22,13,78
9,Zarah,Business Development,zbennoe8@whitehouse.gov,Female,1903894174,7,78,21,8,6,7,01/06/2017,62,3,25,38,24
10,Jeno,Product Management,jpattie9@acquirethisname.com,Male,1234451921,1,348,15,6,2,7,19/02/2017,51,1,46,36,12
11,Thornton,Product Management,tknowltona@is.gd,Male,2204122262,4,78,11,6,4,1,28/02/2017,84,9,6,38,90
12,Francoise,Human Resources,fdemicheleb@people.com.cn,Female,725900512,7,57,11,3,0,8,14/10/2016,97,24,26,7,44
13,Wait,Product Management,wmcalindenc@naver.com,Male,8921284974,3,776,11,2,3,6,23/07/2017,6,19,24,86,9
14,Jordain,Research and Development,jbooled@360.cn,Female,4646306697,0,386,7,1,4,2,09/08/2016,20,6,37,70,61
15,Nonah,Support,ncissene@discuz.net,Female,6387949017,4,442,9,5,4,0,18/06/2017,73,24,46,15,23
16,Quincey,Human Resources,qcaudlef@nymag.com,Male,4410969536,2,653,14,7,0,7,17/04/2017,25,10,0,3,22
17,Nicko,Services,nklaggemang@boston.com,Male,717887758,9,34,19,8,6,5,15/10/2016,27,12,2,96,45
18,Saraann,Research and Development,sconnorsh@t-online.de,Female,7976301446,7,458,9,4,3,2,02/10/2016,45,19,20,34,95
19,Lory,Support,lmcclaughlini@bbc.co.uk,Female,5430699861,7,23,18,7,4,7,13/02/2017,18,11,11,96,56
20,Shawn,Training,sbeeblej@ezinearticles.com,Female,8461826485,8,540,14,,5,9,11/09/2016,52,18,27,56,22
21,Darryl,Marketing,dbeechamk@cocolog-nifty.com,Female,9649394540,5,21,18,9,1,8,16/03/2017,37,2,9,76,73
22,Merrili,Engineering,myakovichl@bbb.org,Female,9845935850,7,423,20,4,8,8,04/12/2016,8,12,43,22,57
23,Obed,Training,oballisterm@tripod.com,Male,1788815890,4,754,12,5,1,6,05/10/2016,92,23,23,72,85
24,Arnie,Business Development,aargilen@mysql.com,Male,2805702964,5,401,8,8,0,0,09/02/2017,27,22,13,38,84
25,Byron,Training,bcampso@hostgator.com,Male,6235001401,2,369,11,4,7,0,09/07/2017,58,3,40,21,9
26,Anissa,Engineering,amatzenp@about.me,Female,7608631155,4,926,9,2,7,0,22/11/2016,13,15,36,98,28
27,Hurlee,Engineering,hascroftq@rediff.com,Male,7309345584,1,414,19,3,9,7,09/06/2017,66,16,11,5,59
28,Beaufort,Accounting,bbernetr@census.gov,Male,2796549968,5,725,17,7,8,2,26/03/2017,30,6,39,11,77
29,Batsheva,Research and Development,btaborres@gmpg.org,Female,5297564581,5,41,17,6,8,3,06/10/2016,47,21,23,100,45
30,Brandy,Engineering,bmclindent@paginegialle.it,Female,6778555807,9,109,15,9,5,1,27/06/2017,85,20,47,73,95
31,Hilda,Research and Development,hackermanu@discovery.com,Female,3826898753,8,842,12,2,7,3,04/05/2017,40,21,20,96,32
32,Beauregard,Legal,bwilliamv@unicef.org,Male,4232604758,3,163,17,6,5,6,11/03/2017,39,5,36,28,62
33,Daisie,Legal,dkillickw@altervista.org,Female,957913745,9,503,18,4,6,8,01/04/2017,16,23,8,46,47
34,Lynda,Research and Development,lharkinsx@answers.com,Female,268342296,6,815,13,3,3,7,11/06/2017,34,2,13,67,45
35,Chloris,Legal,cdaney@spiegel.de,Female,9293517590,8,208,7,4,0,3,23/07/2017,3,8,18,17,66
36,Rosanne,Training,rglaviasz@com.com,Female,5339763889,5,414,11,6,2,3,19/02/2017,4,19,44,55,52
37,Carmine,Services,csprionghall10@uol.com.br,Male,7774831363,3,754,14,2,6,6,23/06/2017,92,20,38,66,7
38,Chucho,Services,cjubert11@t.co,Male,2749268451,6,736,11,1,4,6,20/02/2017,32,7,8,36,62
39,Petronia,Human Resources,pniblett12@slideshare.net,Female,4374011862,0,275,14,1,8,5,26/04/2017,92,9,33,29,46
40,Claudianus,Marketing,csowrey13@behance.net,Male,3257997388,7,518,16,6,1,9,26/08/2016,50,17,6,52,52
